sample_id,0,1,2,3,4,5,6,7,8,9
S0000,1.0575406423595552,-0.7223900516704131,0.6428720283123455,0.35729127819446094,0.048640359095929626,-0.12564226160490205,0.43172756996052736,0.2936648558552162,0.05246912727866963,-0.03444849454874022
S0001,-0.5519083618531058,0.03222045065704489,-0.533020509238534,0.5203367687828955,0.08324222591282826,0.07011155174425547,-0.11836483199144725,0.054441478724852874,-0.21891082874279688,-0.14606103126187545
S0002,0.34721016404138383,-0.17571197728074542,0.0885546407073454,0.048443937190890844,-0.3607046461909273,0.45128162531468036,0.34438349156050946,0.4224806316695984,-0.1467362749986833,-0.0142766238045765
S0003,-0.8235673980941978,0.6639935099051401,0.19239726338811197,0.28545625369673056,0.07455543570138312,-0.11795784363267352,0.02148821076477169,0.05217078582556531,0.3177155727632266,0.09901480766170076
S0004,-0.30766571579014496,-0.695445150450475,-0.20607567861483106,-0.3915245261579703,0.3195027439845575,0.01726290288602662,-0.21782540505836767,0.3375306931080653,-0.1908039314907287,0.5161385949107041
S0005,-0.21318206459171843,-0.5357079906869768,-0.18412494622518424,-0.42958932303079345,0.33986340084883826,-0.2482840173568449,-0.12209970847253354,0.25357050867747866,-0.22968755762427884,0.4381133397798744
S0006,-0.7745357545131523,0.24028190850167278,0.6715164877207496,-0.6338663449526312,-0.14464968755875487,-0.08862027136614464,-0.025426009949827567,-0.09663202376040328,-0.4342899166417694,-0.10714613662077521
S0007,1.4963754471425499,0.2333816703501637,0.3434995730071349,-0.04984462949436567,0.8772401658741189,0.16971686588986246,-0.24999916053477958,0.0783648888553831,-0.15217183158960848,-0.5369493884721125
S0008,-0.27133538310621147,-0.33324932980626315,-0.49489539480503064,-0.11354641857412848,0.3601203220211033,0.048099577777954934,0.40493224927168175,-0.39840259756176444,0.10606086038148324,-0.0012296648623343765
S0009,1.6789538372175097,1.1693629725246588,-0.13135484118983104,0.10526801260559471,-0.1969335239883155,-0.8851401917342899,-0.03538035265564091,-0.15532422311977181,0.1751930300924822,0.18891020711938505
S0010,0.0028133926844562253,-0.451407781664884,0.3260514717269974,0.13365593386769925,-0.49648958000581916,0.1392092226261775,-0.17660920257023424,-0.11803995895096187,-0.18270584668908232,0.038879996712330674
S0011,-0.23566702194885808,-0.7210855993142564,-0.14041595336718407,-0.1646794023833832,0.17710214748374625,0.1301945251977836,0.04316968587585494,-0.35869629901389616,0.06983692980283468,0.015771452729687763
S0012,0.02047901571430494,-0.24834685001640747,-0.4268292591536448,-0.30695316055035304,-0.09283260647826619,-0.39963849655152633,-0.007594892072324515,-0.02687731019050174,-0.14898251446871896,-0.2402066804986001
S0013,-0.19355903778847616,-0.8810369448039209,-0.11898603273518929,-0.442377755552697,0.5643987132348715,-0.09294651514995055,0.14364930712917778,-0.06804892703612359,-0.030798683808965114,0.5062721632890224
S0014,1.351833470760849,0.08341597342967949,0.22408852986108965,-0.02689100884778312,0.9225736330574753,-0.27448581677899103,-0.6801224764670722,-0.6220600561573506,-0.1420779089638368,-0.46236916182873916
S0015,-0.5823062069461227,0.005260242450746848,-0.5342270885303136,0.5092390274204197,0.09793978415340217,0.1372160425069469,-0.09898727766938699,0.0781216885799731,-0.23025221908745805,-0.14573183779146026
S0016,0.44562764004088834,-1.0392175914424988,0.6468520661190522,0.5885038922680308,-0.40954700739303534,-0.15158835349211258,-0.07280554217410945,-0.43943844793910586,0.04569757461019441,0.2560284565767522
S0017,1.1735569927494889,0.46808784897776773,0.03676656002010219,-0.27089572611304485,0.1763930276848829,0.36495219891237984,-0.15701329692758667,0.09699069105460204,-0.29223129739196824,-0.407591986188558
S0018,1.2683311749040498,-0.5669753544965631,0.6758049608439481,0.34434497221933563,0.13914140861342422,-0.14500823128086424,0.5063214215366137,0.3939358551121894,0.07752831742798012,-0.13061785614895438
S0019,2.2682483131428626,1.2616972115275626,0.32675952192503066,0.10990468622263186,0.9224378388205157,-0.18895190784144866,-0.6120998612214523,-0.24416766813642773,0.19614031206522672,-0.6579199121137939
S0020,0.5773608715171897,0.1365146553710171,-0.2549621681314185,-0.18658319762856074,-0.5010860246457465,0.22339705026398332,0.37681950066000647,0.45866238543899984,-0.19133160606533317,0.18154553604500803
S0021,-0.352974570274391,-0.15084627740219442,-0.13140408323787534,-0.34646568261666477,-0.3038200403825161,0.11506019245768792,-0.46793589910309735,0.21490411240897125,0.4211144855407548,-0.2388112179584618
S0022,-0.8270099377686361,0.3476595775967582,0.7136752299397997,-0.5711485793723704,-0.12114375061903322,-0.09723006207521322,0.0035873736517112653,-0.08683068572914251,-0.33830096789894876,-0.08127820167080473
S0023,-0.3824528650534509,0.1590536678080265,-0.5821666541008488,0.6089926126712137,0.03871381047994112,-0.1171393114446038,-0.16467698767874264,0.010885452160519964,-0.09046261509772731,-0.11923840530021251
S0024,1.1706251822680331,0.46332777930771707,-0.10593699597942095,-0.22613737150808932,-0.1826143283701086,0.5540062400136545,0.0034418522073965366,0.026603698842825207,-0.366209867038891,-0.08291933377775955
S0025,-0.248585107523861,-0.28246491725886436,-0.30823496400271666,-0.18349264087407663,-0.15544659813965228,0.018629270072889795,-0.19226667184942153,-0.012640327771631401,-0.12489191175887453,-0.03871461861125531
S0026,1.0469463396524306,0.573947157374075,-0.2833318920413818,-0.43610026838544214,-0.01527842479868016,0.3886441975649513,-0.154718374260109,-0.096641553004619,-0.3808735617191523,-0.2467603392546529
S0027,0.8422985326716689,0.7106152794147514,-0.9409053709197109,-0.5028962586726828,-0.39830443742416904,-1.1038735231337105,-0.23788740401472186,-0.5909076173580777,0.3711952271140316,0.3379163245205175
